GIGABYTE Gaming GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 ATX Video Card GV-N307TGAMING OC-8GD
ASUS Noctua OC Edition GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Video Card RTX3070-O8G-NOCTUA (LHR)
$1,157.32 –
GIGABYTE Gaming GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N307TGAMING OC-8GD
$894.74 
COLORFUL iGame GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 Video Card RTX 3070 Ti Ultra W OC 8G
$1,249.98 –
GIGABYTE Vision GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N307TVISION OC-8GD
$1,199.98 –
ASUS KO NVIDIA GeForce RTX 3070 V2 8GB GDDR6 Gaming Graphics Card (PCIe 4.0, 8GB GDDR6 Memory, LHR, HDMI 2.1, DisplayPort 1.4a, Axial-tech Fan Design, 0dB Technology, Enduring Capacitors)
$1,246.00 –
GIGABYTE AORUS GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N307TAORUS M-8GD
$1,069.99 –
MSI Ventus GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Video Card RTX 3070 Ventus 2X 8G OC LHR
$859.00 
